id;order_number;amount;status;created_at
92e867c6-a353-4b04-81bc-4b37573a44bc;unknown;28793.55;COMPLETED;2025-05-31T06:26:35
d95fbf1d-7698-4620-86d0-ee83f0023c48;er;20160.13;COMPLETED;2025-05-31T02:54:07
39b45bc4-0a6f-454d-bc66-d1abcb48bb69;bleak allegation;3016.6;PENDING;2025-05-31T06:02:41
cfafb0be-b0ee-468f-a284-c828292366ca;alive;16494.1;CANCELLED;2025-05-31T01:10:29
e662f9d8-ba03-45b8-b89a-7ec195bdbe68;advertisement yuck;15323.76;CANCELLED;2025-05-30T15:36:46
c07ba9fa-3605-47b9-ba5d-b8d9db80312f;reorganisation gracefully;4965.15;CANCELLED;2025-05-31T03:42:34
50c4807c-fd5f-4eb0-bf44-7910281c5009;poorly;2683.52;COMPLETED;2025-05-30T15:29:19
e77fcb1e-7b62-4775-8686-87ae10955013;best-seller knavishly;26362.77;PENDING;2025-05-30T20:05:56
9688e0c5-5e69-421f-8020-6bc75b97f477;glow;527.04;COMPLETED;2025-05-31T14:23:22
534cbbf7-67d5-4852-b5e4-af65a1f865ce;given plump;27265.63;CANCELLED;2025-05-31T04:17:50
